"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phi [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(dB(GainTotal)) []"""
-2,0.5,1.5,0,9,8,5,10.6,1.40825656385791
2,0.5,1.5,0,9,8,5,0.6,-13.8885803720775
2,0.5,1.5,0,9,8,5,0.7,-11.8752420055683
2,0.5,1.5,0,9,8,5,0.8,-10.1276998132485
2,0.5,1.5,0,9,8,5,0.9,-8.58549567758921
2,0.5,1.5,0,9,8,5,1,-7.20886524804994
2,0.5,1.5,0,9,8,5,1.1,-5.97088234347401
2,0.5,1.5,0,9,8,5,1.2,-4.8532318899645
2,0.5,1.5,0,9,8,5,1.3,-3.84358042390034
2,0.5,1.5,0,9,8,5,1.4,-2.93366332820193
2,0.5,1.5,0,9,8,5,1.5,-2.11805968617758
2,0.5,1.5,0,9,8,5,1.6,-1.39303437981565
2,0.5,1.5,0,9,8,5,1.7,-0.755599579973619
2,0.5,1.5,0,9,8,5,1.8,-0.200603129038127
2,0.5,1.5,0,9,8,5,1.9,0.27278882336949
2,0.5,1.5,0,9,8,5,2,0.6682853088502
2,0.5,1.5,0,9,8,5,2.1,0.990910942375274
2,0.5,1.5,0,9,8,5,2.2,1.24715477550235
2,0.5,1.5,0,9,8,5,2.3,1.44509610587703
2,0.5,1.5,0,9,8,5,2.4,1.59311195232671
2,0.5,1.5,0,9,8,5,2.5,1.69922302640141
2,0.5,1.5,0,9,8,5,2.6,1.77163475245588
2,0.5,1.5,0,9,8,5,2.7,1.81742865464839
2,0.5,1.5,0,9,8,5,2.8,1.84390436437739
2,0.5,1.5,0,9,8,5,2.9,1.85678146214656
2,0.5,1.5,0,9,8,5,3,1.86072533232838
2,0.5,1.5,0,9,8,5,3.1,1.85942469941914
2,0.5,1.5,0,9,8,5,3.2,1.85543220332582
2,0.5,1.5,0,9,8,5,3.3,1.8509525981648
2,0.5,1.5,0,9,8,5,3.4,1.84681381192086
2,0.5,1.5,0,9,8,5,3.5,1.84386209852062
2,0.5,1.5,0,9,8,5,3.6,1.84456087003835
2,0.5,1.5,0,9,8,5,3.7,1.85242741062821
2,0.5,1.5,0,9,8,5,3.8,1.87985559953337
2,0.5,1.5,0,9,8,5,3.9,1.9242161616606
2,0.5,1.5,0,9,8,5,4,1.97411040209084
2,0.5,1.5,0,9,8,5,4.1,2.02764991478371
2,0.5,1.5,0,9,8,5,4.2,2.08092093109468
2,0.5,1.5,0,9,8,5,4.3,2.13158475965233
2,0.5,1.5,0,9,8,5,4.4,2.17553589315652
2,0.5,1.5,0,9,8,5,4.5,2.20649461358722
2,0.5,1.5,0,9,8,5,4.6,2.21684471303208
2,0.5,1.5,0,9,8,5,4.7,2.19610856166601
2,0.5,1.5,0,9,8,5,4.8,2.13151415265645
2,0.5,1.5,0,9,8,5,4.9,2.01612338422343
2,0.5,1.5,0,9,8,5,5,1.85469210896096
2,0.5,1.5,0,9,8,5,5.1,1.70508686355814
2,0.5,1.5,0,9,8,5,5.2,1.65158140900942
2,0.5,1.5,0,9,8,5,5.3,1.71936596390637
2,0.5,1.5,0,9,8,5,5.4,1.86221929567763
2,0.5,1.5,0,9,8,5,5.5,2.02306540935146
2,0.5,1.5,0,9,8,5,5.6,2.17139458804768
2,0.5,1.5,0,9,8,5,5.7,2.30114752537163
2,0.5,1.5,0,9,8,5,5.8,2.42365617535624
2,0.5,1.5,0,9,8,5,5.9,2.5286202448627
2,0.5,1.5,0,9,8,5,6,2.61766304245734
2,0.5,1.5,0,9,8,5,6.1,2.79308358949424
2,0.5,1.5,0,9,8,5,6.2,2.9915948205656
2,0.5,1.5,0,9,8,5,6.3,3.15896071063974
2,0.5,1.5,0,9,8,5,6.4,3.31340829650993
2,0.5,1.5,0,9,8,5,6.5,3.43782772196309
2,0.5,1.5,0,9,8,5,6.6,3.53270393385816
2,0.5,1.5,0,9,8,5,6.7,3.59937132713147
2,0.5,1.5,0,9,8,5,6.8,3.6554949974445
2,0.5,1.5,0,9,8,5,6.9,3.69135660377481
2,0.5,1.5,0,9,8,5,7,3.70516809001774
