"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
-2,0.5,1.5,0,9,8,5,10.6,10.2075709505693
2,0.5,1.5,0,9,8,5,0.6,7.64503263637189
2,0.5,1.5,0,9,8,5,0.7,8.1503580508958
2,0.5,1.5,0,9,8,5,0.8,8.41492511051872
2,0.5,1.5,0,9,8,5,0.9,8.48411611228713
2,0.5,1.5,0,9,8,5,1,8.40924352629648
2,0.5,1.5,0,9,8,5,1.1,8.2330096722763
2,0.5,1.5,0,9,8,5,1.2,7.99971113199107
2,0.5,1.5,0,9,8,5,1.3,7.74195613536879
2,0.5,1.5,0,9,8,5,1.4,7.4825942797847
2,0.5,1.5,0,9,8,5,1.5,7.23932657988204
2,0.5,1.5,0,9,8,5,1.6,7.02030966714753
2,0.5,1.5,0,9,8,5,1.7,6.83020120693778
2,0.5,1.5,0,9,8,5,1.8,6.67070446697187
2,0.5,1.5,0,9,8,5,1.9,6.54012307017706
2,0.5,1.5,0,9,8,5,2,6.44037487154108
2,0.5,1.5,0,9,8,5,2.1,6.36674806867221
2,0.5,1.5,0,9,8,5,2.2,6.31670059922669
2,0.5,1.5,0,9,8,5,2.3,6.30115450343783
2,0.5,1.5,0,9,8,5,2.4,6.35555387671435
2,0.5,1.5,0,9,8,5,2.5,6.42942175878903
2,0.5,1.5,0,9,8,5,2.6,6.51736780196508
2,0.5,1.5,0,9,8,5,2.7,6.61626649365993
2,0.5,1.5,0,9,8,5,2.8,6.72153381771758
2,0.5,1.5,0,9,8,5,2.9,6.83023827633246
2,0.5,1.5,0,9,8,5,3,6.93994982765441
2,0.5,1.5,0,9,8,5,3.1,7.04832843996378
2,0.5,1.5,0,9,8,5,3.2,7.15464628297794
2,0.5,1.5,0,9,8,5,3.3,7.25867945893781
2,0.5,1.5,0,9,8,5,3.4,7.36004476460761
2,0.5,1.5,0,9,8,5,3.5,7.45978270342485
2,0.5,1.5,0,9,8,5,3.6,7.55825315501324
2,0.5,1.5,0,9,8,5,3.7,7.65678181019222
2,0.5,1.5,0,9,8,5,3.8,7.75588745790143
2,0.5,1.5,0,9,8,5,3.9,7.85655244266209
2,0.5,1.5,0,9,8,5,4,7.95995941173454
2,0.5,1.5,0,9,8,5,4.1,8.06683407704534
2,0.5,1.5,0,9,8,5,4.2,8.17777121732605
2,0.5,1.5,0,9,8,5,4.3,8.29338369500949
2,0.5,1.5,0,9,8,5,4.4,8.41436718517452
2,0.5,1.5,0,9,8,5,4.5,8.54106903792216
2,0.5,1.5,0,9,8,5,4.6,8.67372336976801
2,0.5,1.5,0,9,8,5,4.7,8.81258902519795
2,0.5,1.5,0,9,8,5,4.8,8.95793825043429
2,0.5,1.5,0,9,8,5,4.9,9.10961072107252
2,0.5,1.5,0,9,8,5,5,9.2674064705368
2,0.5,1.5,0,9,8,5,5.1,9.43126042111362
2,0.5,1.5,0,9,8,5,5.2,9.60087174902317
