"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phi [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(dB(GainTotal)) []"""
-2,0.5,1.5,0,9,8,5,10.3,-10.166569154009
-2,0.5,1.5,0,9,8,5,10.4,-10.2267377876394
-2,0.5,1.5,0,9,8,5,10.5,-10.1846184895638
-2,0.5,1.5,0,9,8,5,10.6,-10.12201572375
2,0.5,1.5,0,9,8,5,0.6,-28.9224799321988
2,0.5,1.5,0,9,8,5,0.7,-27.2273119906935
2,0.5,1.5,0,9,8,5,0.8,-25.8799382525318
2,0.5,1.5,0,9,8,5,0.9,-24.5513460801272
2,0.5,1.5,0,9,8,5,1,-23.4631708464922
2,0.5,1.5,0,9,8,5,1.1,-22.4784280822941
2,0.5,1.5,0,9,8,5,1.2,-21.4619068132105
2,0.5,1.5,0,9,8,5,1.3,-20.7056345290096
2,0.5,1.5,0,9,8,5,1.4,-19.8496903099626
2,0.5,1.5,0,9,8,5,1.5,-19.2020968291023
2,0.5,1.5,0,9,8,5,1.6,-18.6792336208127
2,0.5,1.5,0,9,8,5,1.7,-18.2320390151129
2,0.5,1.5,0,9,8,5,1.8,-18.0101931826887
2,0.5,1.5,0,9,8,5,1.9,-17.6246563819421
2,0.5,1.5,0,9,8,5,2,-17.3966876959438
2,0.5,1.5,0,9,8,5,2.1,-17.2057309839428
2,0.5,1.5,0,9,8,5,2.2,-17.0149776108562
2,0.5,1.5,0,9,8,5,2.3,-16.9742633909752
2,0.5,1.5,0,9,8,5,2.4,-16.8705628006761
2,0.5,1.5,0,9,8,5,2.5,-16.8747166055907
2,0.5,1.5,0,9,8,5,2.6,-16.8579936009556
2,0.5,1.5,0,9,8,5,2.7,-16.8553911633093
2,0.5,1.5,0,9,8,5,2.8,-16.8793029699441
2,0.5,1.5,0,9,8,5,2.9,-16.9353600938192
2,0.5,1.5,0,9,8,5,3,-16.971235421238
2,0.5,1.5,0,9,8,5,3.1,-17.0181117227417
2,0.5,1.5,0,9,8,5,3.2,-17.0243763615317
2,0.5,1.5,0,9,8,5,3.3,-16.9935801252497
2,0.5,1.5,0,9,8,5,3.4,-16.9417781796145
2,0.5,1.5,0,9,8,5,3.5,-16.8182716799503
2,0.5,1.5,0,9,8,5,3.6,-16.6862660433165
2,0.5,1.5,0,9,8,5,3.7,-16.5091080261303
2,0.5,1.5,0,9,8,5,3.8,-16.3169209619257
2,0.5,1.5,0,9,8,5,3.9,-16.1074810310656
2,0.5,1.5,0,9,8,5,4,-15.8806142694598
2,0.5,1.5,0,9,8,5,4.1,-15.6435593622857
2,0.5,1.5,0,9,8,5,4.2,-15.4340955452176
2,0.5,1.5,0,9,8,5,4.3,-15.2425506706039
2,0.5,1.5,0,9,8,5,4.4,-15.0763957461541
2,0.5,1.5,0,9,8,5,4.5,-14.9228716168593
2,0.5,1.5,0,9,8,5,4.6,-14.7874078764987
2,0.5,1.5,0,9,8,5,4.7,-14.6707763796691
2,0.5,1.5,0,9,8,5,4.8,-14.5765791422338
2,0.5,1.5,0,9,8,5,4.9,-14.4855976477004
2,0.5,1.5,0,9,8,5,5,-14.4004322448218
2,0.5,1.5,0,9,8,5,5.1,-14.3276080280629
2,0.5,1.5,0,9,8,5,5.2,-14.2534044813494
2,0.5,1.5,0,9,8,5,5.3,-14.1734055957942
2,0.5,1.5,0,9,8,5,5.4,-14.0849254521696
2,0.5,1.5,0,9,8,5,5.5,-13.9777505309697
2,0.5,1.5,0,9,8,5,5.6,-13.8649336479755
2,0.5,1.5,0,9,8,5,5.7,-13.7359533821011
2,0.5,1.5,0,9,8,5,5.8,-13.6008198476116
2,0.5,1.5,0,9,8,5,5.9,-13.4566437634991
2,0.5,1.5,0,9,8,5,6,-13.3116713218552
2,0.5,1.5,0,9,8,5,6.1,-13.1743572787945
2,0.5,1.5,0,9,8,5,6.2,-13.0337144744632
2,0.5,1.5,0,9,8,5,6.3,-12.8974356813325
2,0.5,1.5,0,9,8,5,6.4,-12.7758094915379
2,0.5,1.5,0,9,8,5,6.5,-12.6628283082404
2,0.5,1.5,0,9,8,5,6.6,-12.5552524155485
2,0.5,1.5,0,9,8,5,6.7,-12.4537251577051
2,0.5,1.5,0,9,8,5,6.8,-12.3554532486382
2,0.5,1.5,0,9,8,5,6.9,-12.2607098376094
2,0.5,1.5,0,9,8,5,7,-12.1851425038775
2,0.5,1.5,0,9,8,5,7.1,-12.1134599678866
2,0.5,1.5,0,9,8,5,7.2,-12.0404412490422
2,0.5,1.5,0,9,8,5,7.3,-11.9744099018182
2,0.5,1.5,0,9,8,5,7.4,-11.9104194398296
2,0.5,1.5,0,9,8,5,7.5,-11.8556846361679
2,0.5,1.5,0,9,8,5,7.6,-11.7988441725694
2,0.5,1.5,0,9,8,5,7.7,-11.7414085271382
2,0.5,1.5,0,9,8,5,7.8,-11.6840215570496
2,0.5,1.5,0,9,8,5,7.9,-11.622666549296
2,0.5,1.5,0,9,8,5,8,-11.5625780407374
2,0.5,1.5,0,9,8,5,8.1,-11.4996564143963
2,0.5,1.5,0,9,8,5,8.2,-11.4383996675515
2,0.5,1.5,0,9,8,5,8.3,-11.3702227885798
2,0.5,1.5,0,9,8,5,8.4,-11.2970008447819
2,0.5,1.5,0,9,8,5,8.5,-11.2252039128773
2,0.5,1.5,0,9,8,5,8.6,-11.1585900684734
2,0.5,1.5,0,9,8,5,8.7,-11.1095729989795
2,0.5,1.5,0,9,8,5,8.8,-11.0519066143538
2,0.5,1.5,0,9,8,5,8.9,-10.9826181689349
2,0.5,1.5,0,9,8,5,9,-10.8925038012052
2,0.5,1.5,0,9,8,5,9.1,-10.7999176798362
2,0.5,1.5,0,9,8,5,9.2,-10.7083329111299
2,0.5,1.5,0,9,8,5,9.3,-10.610472414652
2,0.5,1.5,0,9,8,5,9.4,-10.5143485625353
2,0.5,1.5,0,9,8,5,9.5,-10.4412558918586
2,0.5,1.5,0,9,8,5,9.6,-10.3748477285157
2,0.5,1.5,0,9,8,5,9.7,-10.3063171837925
2,0.5,1.5,0,9,8,5,9.8,-10.241218670326
2,0.5,1.5,0,9,8,5,9.9,-10.153758315679
2,0.5,1.5,0,9,8,5,10,-10.0273306479782
2,0.5,1.5,0,9,8,5,10.1,-9.89694575474679
2,0.5,1.5,0,9,8,5,10.2,-9.77003529072724
2,0.5,1.5,0,9,8,5,10.3,-9.66403730442267
2,0.5,1.5,0,9,8,5,10.4,-9.56987922680219
2,0.5,1.5,0,9,8,5,10.5,-9.47402601410886
2,0.5,1.5,0,9,8,5,10.6,-9.38936725134465
-2,0.5,1.5,0,9,12,5,0.6,-28.6610829974925
-2,0.5,1.5,0,9,12,5,0.7,-26.9292019354391
-2,0.5,1.5,0,9,12,5,0.8,-25.5290130163152
-2,0.5,1.5,0,9,12,5,0.9,-24.1166024938731
-2,0.5,1.5,0,9,12,5,1,-22.9399767186232
-2,0.5,1.5,0,9,12,5,1.1,-21.8642919286509
-2,0.5,1.5,0,9,12,5,1.2,-20.7447892984746
-2,0.5,1.5,0,9,12,5,1.3,-19.8865418575827
-2,0.5,1.5,0,9,12,5,1.4,-18.934697365777
-2,0.5,1.5,0,9,12,5,1.5,-18.1990682385127
-2,0.5,1.5,0,9,12,5,1.6,-17.6056816362788
-2,0.5,1.5,0,9,12,5,1.7,-17.097910291638
-2,0.5,1.5,0,9,12,5,1.8,-16.8355519125708
-2,0.5,1.5,0,9,12,5,1.9,-16.4117764119662
-2,0.5,1.5,0,9,12,5,2,-16.1701199268839
-2,0.5,1.5,0,9,12,5,2.1,-15.9863391566082
-2,0.5,1.5,0,9,12,5,2.2,-15.8107586697929
-2,0.5,1.5,0,9,12,5,2.3,-15.8147577638653
-2,0.5,1.5,0,9,12,5,2.4,-15.7348277291184
-2,0.5,1.5,0,9,12,5,2.5,-15.7810494852998
